company,# applications,avg_wages
ASCEND FOUNDATION,3,"$58,366"
TECHMINDS GROUP,3,"$60,000"
TECHNICAL OPERATIONS,3,"$66,491"
HANWECK ASSOCIATES,3,"$75,428"
ARTSY,3,"$85,000"
ALPHA TECHNOLOGIES,3,"$61,667"
TAYLOR,3,"$87,600"
ICREON TECH,3,"$71,667"
ASTA,3,"$91,667"
TARGET HEALTH,3,"$60,600"
TAOS GLOBAL GROUP,3,"$54,000"
IDEAS PURPOSE,3,"$80,000"
ATLAS MERCHANT CAPITAL,3,"$106,500"
ATLAS SYSTEMS,3,"$65,000"
SYSTEM INTEGRATION,3,"$70,181"
SYSKA HENNESSY GROUP,3,"$79,676"
AUBURN THEOLOGICAL SEMINARY,3,"$59,427"
AUERBACH GRAYSON COMPANY,3,"$116,000"
ILOVEVELVET,3,"$69,326"
VIKING GLOBAL INVESTORS,3,"$128,333"
IMAGINE SWIMMING,3,"$47,674"
SWEDISH AMERICAN CHAMBER COMMERCE,3,"$69,333"
AVANADE,3,"$99,223"
ARTISAN COUNCIL,3,"$40,533"
ARTIS CONTEMPORARY ISRAELI FUND,3,"$50,000"
TECHNOSOFT CORPORATION,3,"$79,833"
THINKBRQ,3,"$115,750"
TORI GOLUB INTERIOR DESIGN,3,"$44,191"
HASELSON INTERNATIONAL TRADING,3,"$41,600"
ALTERNATIVES CHILDREN,3,"$42,667"
TLP INC.,3,"$60,167"
HUDSON AMERICAS,3,"$131,281"
TILLOTSON DESIGN ASSOCIATES,3,"$58,833"
TIGERSPIKE,3,"$113,333"
TIGER PARTY YORK,3,"$68,481"
HARRISON STAR,3,"$138,333"
ARCADIS,3,"$89,597"
ARCHILIER,3,"$46,109"
ARCHITECTS,3,"$49,462"
VERIA COMPANION,3,"$67,392"
VERINON TECHNOLOGY SOLUTIONS,3,"$69,228"
ARCHITECTURE DESIGN PLLC,3,"$69,484"
ARON COMPANY,3,"$145,333"
THINC SYSTEMS,3,"$94,639"
HUMAN RIGHTS WATCH,3,"$98,978"
THE LAB LLC,3,"$40,000"
THAPOVAN INFO SYSTEMS,3,"$59,333"
1100 ARCHITECT,3,"$48,721"
HUMOR RAINBOW,3,"$140,035"
TENG PARTNERS,3,"$108,333"
TENEO HOLDINGS,3,"$110,000"
HARI WORLD TRAVEL,3,"$58,214"
TEMENOS,3,"$91,885"
HUTCHIN HILL CAPITAL,3,"$191,667"
HARCO CONSTRUCTION,3,"$65,383"
TEKSOFT,3,"$77,000"
HYDE YOUR EYES OPTICAL,3,"$140,400"
SCREEN ACTORS GUILD FEDERATION TELEVISION,3,"$140,013"
INSURANCE SYSTEMS,3,"$72,667"
BUSINESS SYSTEMS,3,"$74,871"
PRECISION TECHNOLOGIES CORP,3,"$68,779"
PYRAMID TECHNOLOGY SOLUTIONS,3,"$70,013"
WAYLINK,3,"$38,272"
PYRAMID CONSULTING,3,"$67,833"
JEWELS,3,"$69,500"
CLINE DAVIS MANN,3,"$56,611"
PUBLIC RELATIONS,3,"$68,667"
YORK STEM CELL FOUNDATION,3,"$59,050"
ADVERTISING,3,"$117,960"
PROSPECT CAPITAL MANAGEMENT,3,"$86,667"
CLOUDRAY,3,"$62,178"
JOHANNES LEONARDO,3,"$150,000"
PROSER CORPORATION,3,"$74,000"
COASTAL MANAGEMENT,3,"$68,400"
PROPERTY CASUALTY COMPANY,3,"$116,800"
PROPERTIES DEVELOPMENT CORP,3,"$66,300"
PROPERTIES,3,"$79,500"
PROMATRIX CORP,3,"$61,667"
PROJECT HEALTHY LIVING,3,"$95,000"
JOHN VARVATOS ENTERPRISES,3,"$137,500"
YORK SHAKESPEARE FESTIVAL,3,"$43,680"
PROCLIVITY MEDIA,3,"$75,000"
PROCAL TECHNOLOGIES,3,"$65,000"
COLLECTIVE CORP,3,"$101,667"
PRIZMA JEWELRY,3,"$49,719"
JONES JEANSWEAR GROUP,3,"$117,316"
WEEK PUBLICATIONS,3,"$69,773"
COLORZEN,3,"$129,167"
COLUMBIA PARTNERS YORK,3,"$54,600"
PRESTIGE JEWELRY INTERNATIONAL,3,"$66,608"
CLEARNET,3,"$97,516"
Q4 DESIGNS,3,"$48,506"
GENE KAUFMAN ARCHITECT,3,"$64,013"
GENESIS SOFTWARE SOLUTIONS,3,"$71,917"
JAGO LINK,3,"$64,600"
AFFINITY SOLUTIONS,3,"$68,614"
RESEARCH DEVELOPMENT SERVICES,3,"$62,000"
REPUTATION INSTITUTE,3,"$62,333"
REPRIEVE,3,"$80,000"
GETTY IMAGES,3,"$100,300"
JAMES RYAN CONSULTING,3,"$40,000"
JAMISON CAPITAL PARTNERS,3,"$151,667"
CHING FUNG APPAREL ACCESSORIES,3,"$39,221"
JAVELIN SOFT TECH,3,"$75,000"
JCMS,3,"$73,242"
JEEZZLE,3,"$59,800"
READING ROOM,3,"$100,000"
GENESIS MEDIA,3,"$140,000"
JEWELEX YORK,3,"$86,362"
RAPAPORT FIRM PLLC,3,"$46,065"
RALPH LAUREN RETAIL,3,"$126,833"
JEFFERIES INVESTMENT ADVISERS,3,"$157,167"
RAINBOW STYLE,3,"$55,377"
GENERAL MOTORS COMPANY,3,"$99,667"
ADWEKO AMERICA,3,"$119,000"
CITIMORTGAGE,3,"$98,579"
CITY PRINTS,3,"$61,667"
CITY YORK OFFICE MANAGEMENT BUDGET,3,"$66,661"
CLAIMS,3,"$75,000"
QUADRANT 4 CONSULTING,3,"$80,500"
QUADRANGLE GROUP,3,"$100,000"
QUAD CAPITAL,3,"$93,333"
PREMIER PHYSICAL THERAPY WELLNESS,3,"$65,705"
PRAJAPATI ASSOCIATES,3,"$57,667"
REST CORP,3,"$86,237"
PRAIRIE,3,"$200,000"
KEMP TECHNOLOGIES,3,"$65,333"
PEGASUS CAPITAL ADVISORS,3,"$81,667"
KENDALL NASH,3,"$37,440"
COOLSOFT,3,"$83,333"
COOPER UNION ADVANCEMENT SCIENCE,3,"$239,422"
COPAL PARTNERS,3,"$104,387"
PEANUTS WORLDWIDE,3,"$146,831"
PAUL BOGHOSSIAN,3,"$43,817"
PATTERN,3,"$41,600"
PASONA,3,"$57,527"
COSMOLEDO,3,"$95,000"
PARLIAMENTARIANS GLOBAL ACTION,3,"$85,500"
KING SPALDING,3,"$132,667"
FUND CITY YORK,3,"$50,461"
KING STREET CAPITAL MANAGEMENT,3,"$95,333"
COWEN COMPANY,3,"$113,333"
COWEN GROUP,3,"$85,833"
PAPERLESS,3,"$100,667"
PAPERCHASE ACCOUNTANCY,3,"$52,987"
KINGDON CAPITAL MANAGEMENT,3,"$145,167"
CRAFT ATLANTIC,3,"$82,694"
KINGS 55 GROUP,3,"$43,243"
KINGS MANAGEMENT,3,"$73,000"
PAMLI CAPITAL MANAGEMENT,3,"$71,000"
CREDIT AGRICOLE CORPORATE INVESTMENT BANK,3,"$113,333"
YORK PREPARATORY SCHOOL,3,"$61,015"
FUELED DIGITAL MEDIA,3,"$81,017"
KIRAN JEWELS,3,"$51,953"
"FRY, INC.",3,"$96,252"
CONVERSE,3,"$140,175"
PENINSULA YORK,3,"$133,862"
CONTOUR GLOBAL MANAGEMENT,3,"$168,333"
COMPUTER CONSULTANTS,3,"$71,333"
COMMUNICATION EXPERTS,3,"$97,440"
PRAGMA SECURITIES,3,"$131,667"
POSSIBLE WORLDWIDE,3,"$94,000"
PONTOS AQUA HOLDINGS,3,"$144,250"
GAMING,3,"$89,167"
COMPASS GROUP,3,"$103,884"
POMELLATO,3,"$55,000"
JUICE GENERATION,3,"$58,667"
COMPETENT SYSTEMS,3,"$60,963"
ADV2 FINANCIAL SERVICES,3,"$44,824"
ADTHEORENT,3,"$78,230"
COMPSTAK,3,"$102,668"
ADSYOLO,3,"$46,000"
PLANNING,3,"$44,727"
CONTEXT LABS,3,"$140,000"
PLACEIQ,3,"$107,938"
PINEBRIDGE INVESTMENTS HOLDINGS,3,"$72,333"
KANEKO ARCHITECTS,3,"$43,858"
PILATES CHALLENGE,3,"$44,813"
KAPLAN,3,"$105,309"
PHOTO VIDEO AUDIO,3,"$141,667"
KASE,3,"$58,500"
PETSKY PRUNIER,3,"$104,941"
CONSTRUCTION DEVELOPMENT,3,"$70,000"
GAGOSIAN GALLERY,3,"$142,384"
CONSULTANTS,3,"$69,120"
CONSULTING TECHNOLOGY,3,"$78,029"
GABRIEL BROS,3,"$66,667"
CHARLES KOMAR SONS,3,"$52,850"
CLEARSTREAM,3,"$107,500"
CATAPULT DESIGN,3,"$60,000"
GIORGIO ARMANI CORPORATION,3,"$85,000"
INTSTRUX,3,"$76,000"
SAATCHI,3,"$55,000"
CARPENTER COMPANY,3,"$80,300"
CARTEL,3,"$41,662"
CAST SOFTWARE,3,"$116,167"
INVESTORS HOLDINGS,3,"$103,429"
CATALYST,3,"$102,856"
IVYWISE,3,"$43,500"
CATCHAFIRE,3,"$66,667"
CATHAY HOME,3,"$56,950"
CATHY HOME,3,"$51,501"
ROSEN PARTNERS,3,"$69,569"
ROSEN FIRM,3,"$109,167"
ROSABIANCA ASSOCIATES PLLC,3,"$86,241"
ROOMSTER CORP,3,"$72,966"
ROCKET FUEL,3,"$92,719"
IRIS,3,"$76,567"
CENTRAL BUSINESS SOLUTIONS,3,"$78,720"
GLENVIEW CAPITAL MANAGEMENT,3,"$116,667"
GLENBORN CORP,3,"$150,000"
IRISHCENTRAL,3,"$55,337"
ISERVICES,3,"$73,407"
ISHIFT CORP,3,"$65,000"
SAGENCE,3,"$91,250"
SAGEWOOD CONSTRUCTION DESIGN CORP,3,"$42,000"
INTL FCSTONE,3,"$58,541"
INTERNATIONAL TECHNOLOGIES,3,"$73,333"
"BVM USA, INC.",3,"$41,967"
WAFRA INVESTMENT ADVISORY GROUP,3,"$100,000"
BYTEWARE,3,"$65,333"
CACHET NADA FASHION,3,"$42,000"
SAVIN TECHNOLOGIES,3,"$120,921"
CAFFEBENE,3,"$51,116"
WAITEX INTERNATIONAL,3,"$53,667"
SATURDAYS SURF,3,"$52,649"
SAPVIX,3,"$65,000"
CANARY CONNECT,3,"$120,053"
WALTER GORMAN C,3,"$82,000"
SAILTHRU,3,"$140,000"
SAMOO ARCHITECTURE,3,"$58,372"
CAPITAL INVESTORS LIMITED,3,"$183,333"
GLOBAL MARKETING,3,"$96,068"
INTHEMIX,3,"$165,622"
CAPITAL PARTNERS,3,"$121,667"
CAPITAL SUBSIDIARY MCGRAW HILL,3,"$82,452"
INTIGUA,3,"$116,669"
SALES GRAPHICS,3,"$100,000"
SAISK,3,"$65,000"
CARBON TRADE EXCHANGE,3,"$140,712"
ISRAEL DISCOUNT BANK YORK,3,"$101,239"
LUXURY OPTICAL HOLDINGS,3,"$62,500"
GILT GROUPE,3,"$78,333"
CH2M HILL,3,"$104,899"
"CES USA, INC.",3,"$57,150"
CHARDAN CAPITAL MARKETS,3,"$69,070"
RICHARD HENDLER,3,"$66,955"
YOUDOCS BEAUTY,3,"$88,133"
ITAU SECURITIES,3,"$122,500"
YORK PUBLIC LIBRARY,2,"$55,300"
LORHAN CORPORATION,2,"$69,962"
KATSU KAWASAKI,2,"$58,631"
JAGUAR GROWTH PARTNERS,2,"$105,350"
INFOTECH CORP,2,"$53,668"
INFOMATICS CORP,2,"$69,000"
HOWARD HUGHES MANAGEMENT,2,"$202,097"
LAR NY LLC,2,"$40,000"
KC2,2,"$40,165"
LAZOO WORLDWIDE,2,"$37,128"
HOUSING WORKS,2,"$67,407"
INTERTRUST CORPORATE SERVICES DELAWARE,2,"$197,000"
KOGNITO SOLUTIONS,2,"$100,000"
HOUSE CODE,2,"$117,500"
INTERNATIONAL VALUE ADVISERS,2,"$102,500"
YORK HOTEL MOTEL TRADES COUNCIL,2,"$125,000"
KEEP HOLDINGS,2,"$117,500"
ZEARN,2,"$61,250"
ZBEST PAYMENTS,2,"$62,400"
IVORY SYSTEMS,2,"$105,504"
YORK MEDIA,2,"$140,150"
LOUISE PARIS,2,"$95,000"
LEAD CORPORATION,2,"$63,732"
LOOP DIGITAL,2,"$85,000"
INFOGIX,2,"$82,858"
JAMES WAGMAN ARCHITECT,2,"$49,358"
INFOBUILDERS,2,"$65,000"
YORK EMBROIDERY STUDIO,2,"$42,307"
YOUDEVISE,2,"$66,020"
HUDSON FURNITURE,2,"$66,000"
JULIEN FAREL PRODUCTS INTERNATIONAL,2,"$77,584"
HUDSON CAPITAL MANAGEMENT,2,"$98,875"
LEADERSHIP VILLAGE ACADEMY CHARTER,2,"$42,609"
JUNO INVESTMENT MANAGEMENT,2,"$47,424"
LANGAN,2,"$66,000"
JUST,2,"$56,800"
LODESTAR SYSTEMS,2,"$90,324"
KADMON CORPORATION,2,"$105,000"
INTERNATIONAL TECHNOLOGY SOLUTIONS,2,"$61,506"
KONG ABSTRACT,2,"$74,433"
ZUKERMAN GORE BRANDEIS CROSSMAN,2,"$39,000"
ZELMAN HOLDINGS,2,"$75,000"
KALTURA,2,"$92,500"
HSBC GLOBAL ASSET MANAGEMENT,2,"$104,352"
KALVEN TECHNOLOGIES,2,"$72,987"
LONG TAIL SOLUTIONS,2,"$102,500"
ZIFF DAVIS,2,"$85,197"
LONGTAIL STUDIOS,2,"$72,987"
INTERCEPT INTERACTIVE,2,"$172,500"
KANG GLOBAL INVESTORS,2,"$150,000"
HONEST BUILDINGS,2,"$102,500"
INDUSTRIAL BANK KOREA,2,"$61,370"
INFOR,2,"$147,500"
LUMINUS MANAGEMENT,2,"$182,500"
KNOWITOWL,2,"$105,000"
INTERNATIONAL ACADEMIC ALLIANCE,2,"$56,139"
YUME,2,"$62,500"
LATOUR TRADING,2,"$200,000"
HIRACLE,2,"$60,000"
HILTON WORLDWIDE,2,"$59,087"
INFORMATION SERVICES,2,"$69,500"
LIBSYS,2,"$71,500"
HIGHQ,2,"$220,000"
KNIGHTS INVESTMENT GROUP,2,"$65,553"
INFOSYSTEMS,2,"$63,375"
IVYCONNECT,2,"$101,314"
HUDSON GLOBAL RESOURCES MANAGEMENT,2,"$158,600"
KLEIN GROUP,2,"$80,500"
JACOBS CIVIL CONSULTANTS,2,"$104,872"
INFOSHIRE,2,"$61,000"
LIBRA CAPITAL,2,"$66,500"
KINSA,2,"$90,000"
ZAHIA,2,"$74,295"
HIGH UNITED,2,"$49,733"
LUXEMBOURG DAYAN,2,"$55,000"
INTERNATIONAL GROUP,2,"$53,000"
INTERNATIONAL PEACE INSTITUTE,2,"$82,350"
JACK SCHWARTZ SHOES,2,"$41,000"
INTERNATIONAL SOLUTIONS GROUP,2,"$77,220"
LAURA TORRADO,2,"$91,582"
YORK CITY DEPARTMENT PARKS RECREATION,2,"$62,088"
LUKE CHAMBER ENSEMBLE,2,"$64,480"
KEPLER CANNON,2,"$80,000"
INTERIOR CONSTRUCTION,2,"$62,680"
INTERIORS,2,"$46,000"
KEPOS CAPITAL,2,"$125,000"
KERSHNER TRADING GROUP,2,"$145,000"
INTERLUDE,2,"$89,646"
KETCHUP,2,"$100,000"
YOUR MAJESTY,2,"$60,935"
LUCERNA,2,"$70,000"
HOLSTED MARKETING,2,"$50,500"
KEYSOURCE,2,"$62,500"
LUCY HARRIS STUDIO,2,"$54,080"
HOLLAND KNIGHT,2,"$157,500"
LUERZER ARCHIVE,2,"$66,500"
KEYSTONE STRATEGY,2,"$76,500"
KNOZEN,2,"$120,000"
INTERMARKET APPAREL,2,"$53,034"
HOGARTH WORLDWIDE,2,"$91,500"
INTERMEDIA ADVISORS,2,"$200,000"
LIBBY MANAGEMENTSERVICES CORP,2,"$100,000"
KING ROSE,2,"$49,920"
ZHANG CAPITAL MANAGEMENT CORP,2,"$49,920"
LAURION CAPITAL MANAGEMENT,2,"$163,723"
ZAMBION CORPORATION,2,"$52,000"
HUGHES HUBBARD REED,2,"$197,500"
HUDSON RIVER TRADING,2,"$134,500"
KROLL BOND RATING AGENCY,2,"$130,000"
IMAGO SALES,2,"$42,000"
JEWISH COMMUNITY CENTER MANHATTAN,2,"$50,000"
IMAGINEER TECHNOLOGY GROUP,2,"$80,018"
YORK STRUCTURAL BIOLOGY CENTER,2,"$50,092"
JINNO INTERNATIONAL,2,"$95,000"
LIQUIDHUB,2,"$85,000"
JENNAN COMPREHENSIVE MEDICAL,2,"$79,040"
ILEVEL SOLUTIONS,2,"$81,250"
IKON3,2,"$140,000"
LIQUIDNET HOLDINGS,2,"$112,500"
IGAVEL,2,"$44,886"
INSTICATOR,2,"$76,000"
INNOVATIVE NETWORK SOLUTIONS,2,"$75,000"
LEMONADE CREATIVE,2,"$48,000"
IDHASOFT,2,"$76,000"
JNSQ,2,"$97,500"
LISA INTERNATIONAL,2,"$44,590"
YOUNG RUBICAM BRAVO GROUP,2,"$117,500"
ZUKATRON CORP,2,"$71,510"
LITIGATION GROUP PLLC,2,"$43,000"
IDENTROPY,2,"$60,000"
IPSOS INSIGHT,2,"$185,000"
IDEALIZE,2,"$46,020"
JOHN HENRY HOLDINGS,2,"$69,783"
YORK CITY POLICE DEPARTMENT,2,"$100,743"
LIONS MODEL MANAGEMENT,2,"$260,000"
KURTOSYS SYSTEMS,2,"$84,500"
LEND LEASE SERVICES,2,"$175,500"
ISRAM WHOLESALE TOURS TRAVEL,2,"$78,750"
INSIDE SALES SOLUTIONS,2,"$108,202"
INSIGHT CATASTROPHE MANAGERS,2,"$101,938"
INDUCTIS,2,"$89,238"
INDOTRONIX INTERNATIONAL CORPORATION,2,"$98,800"
INDO WELSH COMPANY,2,"$102,679"
INDIRA CESARINE,2,"$42,526"
INSIDE,2,"$66,750"
LEVINE SULLIVAN KOCH SCHULZ,2,"$141,250"
LEON ZOLAND,2,"$50,149"
LINDSEY THORNBURG,2,"$45,760"
LINK SOLUTIONS,2,"$74,201"
INSIGHT RESEARCH GROUP,2,"$82,500"
LENNYS GROUP,2,"$54,642"
INDEPENDENT PROFESSIONAL SERVICES,2,"$96,096"
KUGLER NING LIGHTING DESIGN,2,"$51,750"
KRONSYS,2,"$66,494"
INCAPTURE INVESTMENTS,2,"$175,000"
INTERNATIONAL LEGAL BUSINESS SERVICES GROUP,2,"$82,472"
IMOWITZ KOENIG,2,"$64,321"
JENNIFER FISHERMAN RUFF,2,"$170,000"
IMENTOR,2,"$54,902"
IMCLONE SYSTEMS,2,"$93,534"
ICSA,2,"$60,500"
LALIBELO,2,"$90,000"
JANE CHIONG,2,"$54,642"
LOANZON,2,"$38,272"
INDUSTRY FUNDS MANAGEMENT,2,"$160,000"
KRAJ FOODS,2,"$55,120"
L18 HOLDINGS SUBSIDIARIES 18,2,"$44,824"
JOTO SAKE,2,"$76,000"
INFOVISION DATA MANAGEMENT,2,"$60,000"
KORN FERRY INTERNATIONAL,2,"$117,500"
INVESTMENT ADVISERS,2,"$158,755"
LANDRUM BROWN,2,"$61,568"
INFOTEK CORPORATION,2,"$83,128"
INVESTCORP INTERNATIONAL,2,"$225,000"
INFOTECH SOLUTIONS BUSINESS,2,"$50,710"
HUMANITY HEALTH,2,"$58,315"
LITTLE SCHOOL HOUSE ELISABETH IRWIN HIGH,2,"$76,763"
INVESCO GROUP SERVICES,2,"$135,000"
KORANGY PUBLISHING,2,"$38,512"
JUAN MONTOYA DESIGN CORP,2,"$45,000"
HUGO BOSS FASHIONS,2,"$112,500"
KORA,2,"$200,000"
JUBU CORP,2,"$41,600"
INTEGRAL DEVELOPMENT CORPORATION,2,"$117,500"
LABELIUM,2,"$50,000"
JAPAN PUBLICATION,2,"$40,352"
INFO,2,"$60,000"
JETT CAPITAL ADVISORS HOLDING,2,"$98,000"
HYKOO,2,"$60,000"
HYPERMEDIA SOLUTIONS,2,"$50,000"
INFOWAVE SYSTEMS,2,"$95,000"
I2SOLVERS,2,"$60,000"
KRIPI,2,"$65,000"
JEFFREY MARGOLIS,2,"$42,120"
LIVE STUDIOS,2,"$76,149"
LABELUX GROUP AMERICAS,2,"$54,642"
JOHN LAING LIMITED,2,"$167,500"
INSTITUTE,2,"$86,206"
ICONTENT,2,"$52,000"
ZILSOL,2,"$66,000"
JOHN UNIVERSITY,2,"$164,879"
INSTITUTE FAMILY HEALTH,2,"$61,217"
JOLLY TINKER,2,"$65,000"
INSTITUTE HUMAN IDENTITY,2,"$55,390"
ICONIFY,2,"$56,597"
JONES DONAHUE,2,"$66,000"
KRAMER LEVIN NAFTALIS FRANKEL,2,"$100,000"
LEBENTHAL WEALTH ADVISORS,2,"$85,000"
LIVEPERSON,2,"$132,500"
ICON INVESTMENT GROUP,2,"$207,500"
INNOVATIVE HOSPITALITY CONCEPTS,2,"$76,960"
IBINVESTOR,2,"$112,000"
INVNT,2,"$61,500"
INITIATIVE MEDIA,2,"$77,450"
ZERO TRADERS,2,"$44,730"
LIBERTAD PRODUCTIONS,2,"$52,000"
PACE GALLERY,2,"$43,032"
LYDELL JEWELRY DESIGN STUDIO,2,"$40,000"
SILVERSTEIN PROPERTIES,2,"$115,000"
SHINHAN BANK,2,"$55,000"
SHIPPING DEVELOPMENT,2,"$110,000"
SHIVANI GEMS,2,"$76,500"
SICHENZIA ROSS FRIEDMAN FERENCE,2,"$90,000"
VSOFT INFOWARE,2,"$100,000"
SILICON BADIA GLOBAL PARTNERS,2,"$89,998"
SILKY CORP,2,"$60,000"
SILVER LINING,2,"$83,200"
SIMCO ENGINEERING,2,"$75,260"
SHIELD DAVID,2,"$61,991"
SIMPLEREACH,2,"$102,500"
VOYA INVESTMENT MANAGEMENT,2,"$106,000"
SIRITEK,2,"$75,000"
SITUATION MARKETING,2,"$64,716"
SIXAGENCY,2,"$110,000"
SIZMEK TECHNOLOGIES,2,"$66,701"
VOXY,2,"$61,000"
VOLO,2,"$52,281"
SHIN 1,2,"$58,240"
SHEPARDSON STERN KAMINSKY,2,"$95,000"
SDIL,2,"$65,000"
SEVEN EIGHT CAPITAL,2,"$125,000"
WACHTELL LIPTON ROSEN KATZ,2,"$200,000"
SECURITIES INDUSTRY AUTOMATION CORPORATION,2,"$86,699"
SECURITY COUNCIL REPORT,2,"$69,750"
SELLDORF ARCHITECTS,2,"$47,643"
SEMSEM,2,"$111,250"
SENZARI,2,"$96,250"
SERINO COYNE,2,"$107,850"
SERVAL POLITICAL ANALYSIS,2,"$49,286"
SEWON,2,"$54,642"
SHEA PARTNERS,2,"$227,500"
SEYFARTH SHAW,2,"$144,862"
SHANGHAI COMMERCIAL BANK,2,"$55,680"
SHANTEX GROUP,2,"$52,000"
SHARP,2,"$87,500"
SHARP DECISIONS,2,"$129,000"
SHARP ENTERTAINMENT,2,"$101,400"
SHAWMUT WOODWORKING SUPPLY,2,"$60,000"
SHAWN MCBRIDE OFFICE C,2,"$100,000"
SKIVA INTERNATIONAL,2,"$60,000"
SLIGHT EDGE SOLUTIONS,2,"$56,826"
SMART VISION LABS,2,"$80,000"
SPECIALIST RESOURCES GLOBAL,2,"$112,500"
SOURCE MANTRA,2,"$75,500"
SOUTH AFRICAN,2,"$50,000"
SOVEREIGN INTERNATIONAL,2,"$120,000"
SPACE,2,"$87,000"
SPACE4ARCHITECTURE,2,"$67,145"
SPAN,2,"$45,051"
SPARKLE GEMS,2,"$61,000"
SPEC ENTERTAINMENT,2,"$45,583"
SPECIALTY INSURANCE COMPANY,2,"$115,265"
SMARTINSIGHT,2,"$76,500"
SPORT195,2,"$170,000"
SPORTS PRODUCTS AMERICA,2,"$41,704"
SPORTSLABNYC,2,"$171,600"
SPORTSWEAR,2,"$55,000"
SPREZZATURA INSURANCE GROUP,2,"$45,000"
SPRI BASQUE TRADE COMMISSION,2,"$100,000"
SPRING STUDIOS YORK,2,"$127,500"
SPYRIDON PAROCHIAL SCHOOL,2,"$53,893"
SOUNDCLOUD,2,"$134,500"
SOPEXA FOOD WINES FROM FRANCE,2,"$45,000"
VISIUM ASSET MANAGEMENT,2,"$112,500"
VIVAKI,2,"$115,000"
SMARTSTREAM TECHNOLOGIES,2,"$106,250"
SMBC CAPITAL MARKETS,2,"$75,000"
SMOKE MIRRORS PRODUCTION,2,"$43,819"
SOCIAL ACCOUNTABILITY INTERNATIONAL,2,"$65,000"
SOCIAL CHANNEL,2,"$52,000"
VOCATIV,2,"$107,250"
SOFTPATH SYSTEM,2,"$60,000"
VMWARE,2,"$95,132"
VIZEUM,2,"$72,500"
SOGO SEIBU,2,"$187,500"
SOLAS CAPITAL MANAGEMENT,2,"$67,500"
SOLEIL CAPITALE CORPORATION,2,"$60,181"
SOLO CREATIONS,2,"$45,531"
SOLOMON GUGGENHEIM FOUNDATION,2,"$79,997"
SOLSTISS,2,"$68,603"
SOMETHING,2,"$90,000"
SONG ASSOCIATES PLLC,2,"$39,530"
SEAPORT GROUP,2,"$60,127"
SCRIPPS NETWORKS,2,"$155,000"
STACK EXCHANGE,2,"$83,298"
ROBERT HALF INTERNATIONAL,2,"$67,205"
RIVERSIDE ANIMAL HOSPITAL,2,"$87,360"
RIVIERA COMMODITIES,2,"$178,273"
ROADS SOFTWARE,2,"$45,000"
ROANNE ADAMS DESIGN,2,"$50,844"
ROBBIE DIVISION APPAREL GROUP,2,"$46,000"
ROBERT BURKE ASSOCIATES,2,"$55,000"
ROBERT COUTURIER,2,"$63,000"
ROBERT GRAHAM DESIGNS,2,"$67,250"
ROBOTTI COMPANY INCORPORATED,2,"$54,642"
RITANI,2,"$75,000"
ROCKEFELLER FOUNDATION,2,"$170,661"
ROCKWELL CORP,2,"$60,000"
ROGERS ARCHITECTS PLLC,2,"$48,000"
ROKT CORP,2,"$152,500"
RONIN CAPITAL,2,"$74,636"
ROOM 106,2,"$39,500"
ROTH CAPITAL PARTNERS,2,"$67,590"
ROTTET STUDIO,2,"$45,000"
RITE HIRE,2,"$102,500"
RISKCARE,2,"$130,000"
SCORE MOBILE,2,"$138,000"
REVEREIT,2,"$88,171"
WARSHAW GROUP,2,"$90,000"
RESEARCH FOUNDATION SUNY COLLEGE OPTOMETRY,2,"$49,942"
RESERVOIR OPERATIONS,2,"$162,500"
RESOLUTE POST,2,"$43,000"
RESOLUTION MEDIA,2,"$113,527"
RETAIL GROUP AMERICA,2,"$97,500"
RETRY,2,"$82,500"
RETURN PATH,2,"$81,500"
REWARD,2,"$37,128"
RISK SERVICES NORTHEAST,2,"$70,450"
RHODE,2,"$58,011"
RICE DORE ASSOCIATES,2,"$125,000"
RICHARD BAQUERO INTERIOR DESIGN,2,"$53,040"
RICHEMONT NORTH AMERICA,2,"$120,000"
RICHLINE GROUP,2,"$49,608"
RIGAS TECHNOLOGIES,2,"$60,000"
RIOT GAMES,2,"$117,496"
RISK SERVICES MARYLAND,2,"$112,500"
ROUNDCORNER,2,"$135,000"
WARNER ELEKTRA ATLANTIC CORP,2,"$50,000"
ROYAL PROMOTION GROUP,2,"$41,143"
SARAYU CONSULTANTS,2,"$67,500"
SANPRO TECHNOLOGIES,2,"$73,500"
SANRASOFT,2,"$66,955"
WALL STREET SERVICES,2,"$61,700"
WAKE,2,"$105,000"
SAPLING FOUNDATION,2,"$53,500"
SAPPHIRE SOFTWARE SOLUTIONS,2,"$85,000"
SAPSOLUTIONS,2,"$72,000"
SARANSH,2,"$73,500"
SAVEN TECHNOLOGIES,2,"$107,900"
RREEF MANAGEMENT,2,"$129,000"
SAVVY INFO SYSTEMS,2,"$70,000"
SBASE TECHNOLOGIES,2,"$56,597"
SCALED AGILE,2,"$75,000"
SCENTRE,2,"$153,500"
WAINWRIGHT,2,"$125,000"
SCHUMAN LICHTENSTEIN CLAMAN EFRON ARCHITECTS,2,"$53,040"
SCHWARTZ,2,"$95,680"
SCOPUS,2,"$83,500"
SANDERS ORTOLI VAUGHN FLAM ROSENSTADT,2,"$42,723"
SAMUEL RAMIREZ COMPANY,2,"$90,000"
WALTER THOMPSON INC,2,"$145,000"
SALVATION ARMY,2,"$55,000"
RUANE CUNNIFF GOLDFARB,2,"$122,967"
RULE FINANCIAL,2,"$120,000"
